,PB Cycle,Idea #,Committee,Project Title,Project Description,Project Status,Idea Submitter,Location,Latitude,Longitude,Entities
71,PB1 (October 2014-April 2015),C69,Culture & Community,To make the CPS school lunch better,By making the pizza better on Fridays by getting special classes for the cooks. This is needed because people don't eat lunch because the food is bad.,Not eligible - would require operating funds.,Fritz,"Broadway
(42.373942, -71.1111489999999)",42.373942,-71.1111489999999,"CPS,school lunch"
72,PB1 (October 2014-April 2015),C70,Culture & Community,To purchase a new health curriculum for the Amigos Middle School,"Needed because the current health curriculum at the Amigos Middle School is outdated and stereotypical, it feeds into extreme stereotypes of girls, specific races and age",Not eligible - would require operating funds. ,Felda,"15 Upton Street
(42.3625499999999, -71.107848)",42.3625499999999,-71.107848,"health curriculum,Amigos Middle School"
73,PB1 (October 2014-April 2015),C71,Culture & Community,"Do not spend the $500,000. Reduce taxes at next collection by equal amount.","Basic idea of Thomas Paine. As the ethical default, government must only do as little as possible.",Not a capital project.  ,Eric Merrell,"Prospect Street
(42.370784, -71.100125)",42.370784,-71.100125,"taxes,amount,collection"
74,PB1 (October 2014-April 2015),E5,"Environment, Health & Safety",Citizen parks within existing park and open spaces.,"it can be a citizen led gardening, beautification. Also, better utilization of scarce resources","Two community garden projects made it to the ballot, but did not receive enough votes to win funding.",PB Assembly,"Field Street
(42.388663, -71.1352729999999)",42.388663,-71.1352729999999,"Citizen parks,park,spaces"
75,PB1 (October 2014-April 2015),C72,Culture & Community,"An outdoor performance venue for theater, music etc. in Sennot Park or Danehy","Cambridge needs more outdoor performance space for people to collectively experience music, theater and are.  I would suggest building an outdoor performance space (like harbor lights or like the stage in Davis Square behind the T)","This idea made it to the ballot (amphitheater in Danehy Park), but didn't get enough votes to win funding.",Ellen Shachter,"Broadway
(42.373257, -71.11167)",42.373257,-71.11166999999999,"performance venue,theater,music,Sennot Park,Danehy"
76,PB1 (October 2014-April 2015),C73,Culture & Community,A Better Use for this Neglected Public Space,"Public art? A garden? A market space? Anything would be better than the current, empty nothingness.",The City plans to reconstruct this plaza as part of the ongoing sewer separation project there.,Doug Brown,"Huron Avenue
(42.38159, -71.134302)",42.38159,-71.134302,"Neglected Public Space,Use"
77,PB1 (October 2014-April 2015),C74,Culture & Community,Add money for adult education,Many immigrants' English is limited. They need more opportunities to study and improve their life.,Not eligible - would require operating funds.,Dandan Zhang,"Callender Street
(42.365405, -71.110945)",42.365404999999996,-71.110945,"money,adult education"
78,PB1 (October 2014-April 2015),C75,Culture & Community,A specific area for the street performers,Some performers are really skilled but they don't have a good place to show their talent.,Budget Delegates did not rank this as a high priority project.,Cynthia,"Massachusetts Avenue
(42.3733849999999, -71.118981)",42.3733849999999,-71.118981,"area,street performers"
79,PB1 (October 2014-April 2015),C76,Culture & Community,Provide school supplies for Peabody Parks School,This is needed to help people learn better and to make other people happy. Also to get better lunches.,Budget Delegates did not rank this as a high priority project. Lunches not eligible for capital funds.,Coltrane,"70 Rindge Avenue
(42.392702, -71.1286029999999)",42.392702,-71.1286029999999,"school supplies,Peabody Parks School"
80,PB1 (October 2014-April 2015),C77,Culture & Community,Mapping buildings for sale for creating community spaces ground level with housing,"There are no longer community gathering spaces - for meetings, events, socializing across age, neighborhood and background. Lyndell's, Kelly/river st etc. cant the city take these buildings and open them to community uses.","Projects in Cambridge Housing Authority property were not eligible. Budget Delegates proposed a project to replace the roof at Centro Latino, which had room for community groups to meet, but the project cost exceeded $500,000.",catherine hoffman,"Prospect Street
(42.368493, -71.1015199999999)",42.368493,-71.10151999999991,"Mapping buildings,sale,housing,community spaces ground level"
81,PB1 (October 2014-April 2015),C78,Culture & Community,Offer more classes for Senior Citizens,To help senior citizens,Not eligible - would require operating funds. Idea was shared with Department of Human Service Programs.,Carl,"Dorothy Doyle Way
(42.367815, -71.1056449999999)",42.367815,-71.10564499999991,"classes,Senior Citizens"
82,PB1 (October 2014-April 2015),C79,Culture & Community,Fix the Senior Center bathrooms,"They are breeding grounds for infection and they smell. Update the towel dispensers, faucets, hand sanitizers, etc.  Seniors have paid the longest into the ""system""",Budget Delegates did not rank this as a high priority project.,Anonymous,"Massachusetts Avenue
(42.3667609999999, -71.106391)",42.3667609999999,-71.106391,Senior Center bathrooms
83,PB1 (October 2014-April 2015),C80,Culture & Community,Neighborhood. Participation. Simple.,"Respect, accountability, fairness, and transparency: What do you know about your Cambridge neighbors' concerns? And when a concern is specified, how do you know if it's changing, getting better, remaining the same, or getting worse? If we can see how the tension of problems and solutions impacts us, couldn't we make better budgeting decisions? I think so. After all, it's your money :)

Relevant details: It's on the Web. Use it from your laptop, a PC at the library or senior center, or an app on your smartphone. Fast, restrained, and elegant. Is that what you want?",Budget Delegates did not rank this as a high priority project.,,"87 River Street
(42.364257, -71.107894)",42.364257,-71.10789399999999,"Neighborhood,Participation"
84,PB1 (October 2014-April 2015),E1,"Environment, Health & Safety",Community garden at Donnelly Field,The park gets a lot of sun and would be a great place for a community garden. Kids could get involved with the garden through City Sprouts or other organizations.,"Two community garden projects made it to the ballot, but did not receive enough votes to win funding.",PB Assembly 1,"York Street
(42.3702559999999, -71.091907)",42.3702559999999,-71.09190699999999,"Community garden,Donnelly Field"
85,PB1 (October 2014-April 2015),E2,"Environment, Health & Safety",Build garden of peace with individual stones.,"it keeps memories alive, use as a reflection space, and educate community with solidarity.","This project made it to the ballot, but did not receive enough votes to win funding.",PB Assembly,"Cambridge Street
(42.3739539999999, -71.1168839999999)",42.3739539999999,-71.1168839999999,"garden,peace,stones"
86,PB1 (October 2014-April 2015),E3,"Environment, Health & Safety",To have small community gardens.,"the unused land could be a place for growth, connection to the ecosystem, and supply land for gardeners.","Two community garden projects made it to the ballot, but did not receive enough votes to win funding.",PB Assembly,"Massachusetts Avenue
(42.383163, -71.1193729999999)",42.383163,-71.11937299999991,community gardens
87,PB1 (October 2014-April 2015),E4,"Environment, Health & Safety",Public garden,the unused land could be used as a garden.,"Two community garden projects made it to the ballot, but did not receive enough votes to win funding.",PB Assembly,"Worcester Street
(42.3669719999999, -71.100064)",42.3669719999999,-71.100064,garden
